INFO; NESTER; <module>; 41; ------------------------------start------------------------------
INFO; NesterCommand; __init__; 707; init
INFO; NesterCommand; onRun; 727; onRun
DEBUG; common; handlerWrapper; 48; notify method created: onStartCreate
DEBUG; common; handlerWrapper; 48; notify method created: onCreate
DEBUG; common; handlerWrapper; 48; notify method created: onExportCreate
DEBUG; common; handlerWrapper; 48; notify method created: onImportCreate
DEBUG; common; handlerWrapper; 48; notify method created: onFinishCreate
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentOpened
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentSaving
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentSaved
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentCreated
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentActivated
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentDeactivated
INFO; NesterCommand; onStop; 866; Fusion360CommandBase.onStop
DEBUG; NesterCommand; onStop; 896; Nester_start deleted True
DEBUG; NesterCommand; onStop; 896; Nester deleted True
DEBUG; NesterCommand; onStop; 896; Nester_export deleted True
DEBUG; NesterCommand; onStop; 896; Nester_import deleted True
DEBUG; NesterCommand; onStop; 896; Nester_finish deleted True
DEBUG; NesterCommand; onStop; 905; Nester_start deleted True
INFO; Fusion360CommandBase; toolbarPanelById_in_Workspace; 84; toolbarPanelById_in_Workspace
INFO; Fusion360CommandBase; toolbarPanelById_in_Workspace; 84; toolbarPanelById_in_Workspace
INFO; Fusion360CommandBase; toolbarPanelById_in_Workspace; 84; toolbarPanelById_in_Workspace
INFO; Fusion360CommandBase; commandDefinitionById; 34; commandDefinitionById
INFO; Fusion360CommandBase; commandControlById_in_Panel; 97; commandControlById_in_Panel
INFO; Fusion360CommandBase; commandDefinitionById; 34; commandDefinitionById
INFO; Fusion360CommandBase; commandControlById_in_Panel; 97; commandControlById_in_Panel
INFO; Fusion360CommandBase; commandDefinitionById; 34; commandDefinitionById
INFO; Fusion360CommandBase; destroyObject; 73; destroyObject - Nester_finish 
INFO; NESTER; <module>; 41; ------------------------------start------------------------------
INFO; NesterCommand; __init__; 707; init
INFO; NesterCommand; onRun; 727; onRun
DEBUG; common; handlerWrapper; 48; notify method created: onStartCreate
DEBUG; common; handlerWrapper; 48; notify method created: onCreate
DEBUG; common; handlerWrapper; 48; notify method created: onExportCreate
DEBUG; common; handlerWrapper; 48; notify method created: onImportCreate
DEBUG; common; handlerWrapper; 48; notify method created: onFinishCreate
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentOpened
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentSaving
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentSaved
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentCreated
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentActivated
DEBUG; common; handlerWrapper; 48; notify method created: onDocumentDeactivated
INFO; NesterCommand; onStop; 866; Fusion360CommandBase.onStop
DEBUG; NesterCommand; onStop; 896; Nester_start deleted True
DEBUG; NesterCommand; onStop; 896; Nester deleted True
DEBUG; NesterCommand; onStop; 896; Nester_export deleted True
DEBUG; NesterCommand; onStop; 896; Nester_import deleted True
